School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,     741,18.4,"      1,423",54.7,45.3,20.3,13.4,57.0,04450000,56.6,3.0,23.3,12.0,0.4,0.1,4.6,Abby Kelley Foster Charter Public (District),"          $24,231,438.78","           1,415.8","              $17,114.65","          $24,231,438.78","           1,415.8","              $17,114.65",2023
Abington - Abington Early Education Program,00010001,      16,24.3,         97,38.1,61.9,12.4,32.0,29.9,00010000,7.2,6.2,12.4,67.0,1.0,0.0,6.2,Abington,"          $35,603,421.16","           2,143.5","              $16,609.95","          $41,098,932.87","           2,297.3","              $17,890.10",2023
Abington - Abington High,00010505,     275,15.7,        566,44.5,55.1,9.7,13.4,35.7,00010000,6.9,2.3,17.1,71.9,0.0,0.2,1.6,Abington,"          $35,603,421.16","           2,143.5","              $16,609.95","          $41,098,932.87","           2,297.3","              $17,890.10",2023
Abington - Abington Middle School,00010405,     385,20.8,        652,50.8,48.9,9.4,20.1,31.0,00010000,6.9,2.5,14.0,73.9,0.5,0.0,2.3,Abington,"          $35,603,421.16","           2,143.5","              $16,609.95","          $41,098,932.87","           2,297.3","              $17,890.10",2023
Abington - Beaver Brook Elementary,00010020,     219,21.5,        519,47.8,52.2,18.9,18.9,33.7,00010000,6.0,2.5,17.7,69.6,0.4,0.2,3.7,Abington,"          $35,603,421.16","           2,143.5","              $16,609.95","          $41,098,932.87","           2,297.3","              $17,890.10",2023
Abington - Woodsdale Elementary School,00010015,     135,24.0,        358,52.0,47.8,14.0,19.3,35.8,00010000,7.3,2.0,16.5,69.8,0.6,0.0,3.9,Abington,"          $35,603,421.16","           2,143.5","              $16,609.95","          $41,098,932.87","           2,297.3","              $17,890.10",2023
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     210,17.2,        468,47.7,52.4,11.5,22.9,61.1,04120000,63.5,0.0,30.1,3.2,0.2,0.0,3.0,Academy Of the Pacific Rim Charter Public (District),"          $12,801,946.92",             467.4,"              $27,392.63","          $12,801,946.92",             467.4,"              $27,392.63",2023
Acton-Boxborough - Acton-Boxborough Regional High,06000505,     684,18.1,"      1,644",47.5,52.0,2.7,13.5,10.6,06000000,3.2,37.7,8.3,47.0,0.3,0.2,3.2,Acton-Boxborough,"         $100,564,755.40","           5,181.7","              $19,407.68","         $109,746,603.20","           5,302.1","              $20,698.70",2023
Acton-Boxborough - Blanchard Memorial School,06000005,     173,21.1,        512,48.2,51.2,11.9,18.0,10.2,06000000,2.7,29.1,9.6,50.8,0.2,0.0,7.6,Acton-Boxborough,"         $100,564,755.40","           5,181.7","              $19,407.68","         $109,746,603.20","           5,302.1","              $20,698.70",2023
Acton-Boxborough - C.T. Douglas Elementary School,06000020,     137,21.2,        410,49.5,50.5,8.5,15.1,13.2,06000000,2.4,15.4,11.2,61.7,0.0,0.0,9.3,Acton-Boxborough,"         $100,564,755.40","           5,181.7","              $19,407.68","         $109,746,603.20","           5,302.1","              $20,698.70",2023
Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,      14,9.6,        122,33.6,66.4,34.4,49.2,24.6,06000000,7.4,36.1,9.8,39.3,0.8,0.0,6.6,Acton-Boxborough,"         $100,564,755.40","           5,181.7","              $19,407.68","         $109,746,603.20","           5,302.1","              $20,698.70",2023
Acton-Boxborough - Luther Conant School,06000030,     138,21.6,        414,47.6,52.4,17.6,16.7,8.0,06000000,2.9,56.5,8.0,26.1,0.0,0.0,6.5,Acton-Boxborough,"         $100,564,755.40","           5,181.7","              $19,407.68","         $109,746,603.20","           5,302.1","              $20,698.70",2023
Acton-Boxborough - McCarthy-Towne School,06000015,     151,21.3,        452,48.2,51.8,11.5,17.9,16.6,06000000,4.2,10.6,13.7,66.2,0.0,0.0,5.3,Acton-Boxborough,"         $100,564,755.40","           5,181.7","              $19,407.68","         $109,746,603.20","           5,302.1","              $20,698.70",2023
Acton-Boxborough - Merriam School,06000010,     138,21.7,        420,49.8,50.0,10.7,16.2,11.0,06000000,3.6,16.7,8.3,63.8,0.0,0.0,7.6,Acton-Boxborough,"         $100,564,755.40","           5,181.7","              $19,407.68","         $109,746,603.20","           5,302.1","              $20,698.70",2023
Acton-Boxborough - Paul P Gates Elementary School,06000025,     123,20.7,        357,48.2,51.8,14.3,14.0,13.2,06000000,3.1,55.2,6.4,28.0,0.0,0.0,7.3,Acton-Boxborough,"         $100,564,755.40","           5,181.7","              $19,407.68","         $109,746,603.20","           5,302.1","              $20,698.70",2023
Acton-Boxborough - Raymond J Grey Junior High,06000405,     539,20.9,        828,49.6,49.8,4.5,16.7,10.0,06000000,2.1,33.2,8.1,51.9,0.0,0.0,4.7,Acton-Boxborough,"         $100,564,755.40","           5,181.7","              $19,407.68","         $109,746,603.20","           5,302.1","              $20,698.70",2023
Acushnet - Acushnet Elementary School,00030025,     270,19.0,        528,44.3,55.7,0.2,18.9,33.9,00030000,1.3,0.6,8.0,86.6,0.8,0.0,2.8,Acushnet,"          $14,679,700.00",             965.8,"              $15,199.52","          $18,752,410.80","           1,254.7","              $14,945.73",2023
Acushnet - Albert F Ford Middle School,00030305,     206,17.3,        422,50.5,49.5,0.2,12.3,26.1,00030000,1.2,1.0,4.3,89.3,0.5,0.0,3.8,Acushnet,"          $14,679,700.00",             965.8,"              $15,199.52","          $18,752,410.80","           1,254.7","              $14,945.73",2023
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     537,17.9,        969,46.0,52.9,4.5,7.4,16.5,04300000,2.8,10.5,11.2,68.3,0.1,0.1,7.0,Advanced Math and Science Academy Charter (District),"          $15,065,009.41",             964.3,"              $15,623.23","          $15,065,009.41",             964.3,"              $15,623.23",2023
Agawam - Agawam Early Childhood Center,00050003,      12,13.8,        165,37.6,62.4,13.9,38.2,50.3,00050000,1.8,4.2,17.6,73.3,0.0,0.0,3.0,Agawam,"          $71,958,484.59","           3,524.8","              $20,414.91","          $78,821,069.71","           3,700.6","              $21,299.54",2023
Agawam - Agawam High,00050505,     546,14.9,"      1,052",45.0,54.5,4.1,16.0,37.0,00050000,3.2,4.0,11.2,78.5,0.0,0.0,3.0,Agawam,"          $71,958,484.59","           3,524.8","              $20,414.91","          $78,821,069.71","           3,700.6","              $21,299.54",2023
Agawam - Agawam Junior High,00050405,     540,11.5,        556,47.3,52.7,6.7,18.5,41.6,00050000,3.6,2.2,10.4,81.1,0.2,0.2,2.3,Agawam,"          $71,958,484.59","           3,524.8","              $20,414.91","          $78,821,069.71","           3,700.6","              $21,299.54",2023
Agawam - Benjamin J Phelps,00050020,     159,20.8,        310,47.7,52.3,8.4,15.2,45.5,00050000,2.9,5.2,10.0,78.4,0.3,0.0,3.2,Agawam,"          $71,958,484.59","           3,524.8","              $20,414.91","          $78,821,069.71","           3,700.6","              $21,299.54",2023
Agawam - Clifford M Granger,00050010,     179,21.4,        362,49.5,50.6,8.8,18.0,39.8,00050000,0.6,2.2,17.7,76.8,0.6,0.0,2.2,Agawam,"          $71,958,484.59","           3,524.8","              $20,414.91","          $78,821,069.71","           3,700.6","              $21,299.54",2023
Agawam - James Clark School,00050030,     159,20.4,        304,45.1,54.9,13.5,20.4,47.4,00050000,2.3,3.6,15.1,75.0,0.3,0.0,3.6,Agawam,"          $71,958,484.59","           3,524.8","              $20,414.91","          $78,821,069.71","           3,700.6","              $21,299.54",2023
Agawam - Roberta G. Doering School,00050303,     272,19.1,        519,48.4,51.6,6.4,18.1,44.3,00050000,2.7,3.7,12.0,79.0,0.0,0.2,2.5,Agawam,"          $71,958,484.59","           3,524.8","              $20,414.91","          $78,821,069.71","           3,700.6","              $21,299.54",2023
Agawam - William P. Sapelli Elementary,00050025,     159,20.1,        301,55.5,44.5,26.9,15.0,54.8,00050000,4.3,2.7,14.6,75.1,0.3,0.0,3.0,Agawam,"          $71,958,484.59","           3,524.8","              $20,414.91","          $78,821,069.71","           3,700.6","              $21,299.54",2023
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,     307,22.0,"      1,023",53.0,47.0,25.9,21.7,72.9,04090000,15.0,0.6,60.4,19.3,0.7,0.0,4.1,Alma del Mar Charter School (District),"          $17,354,710.00","           1,034.5","              $16,776.10","          $17,354,710.00","           1,034.5","              $16,776.10",2023
Amesbury - Amesbury High,00070505,     386,13.8,        477,48.0,52.0,2.7,18.0,29.1,00070000,1.7,1.9,12.2,80.3,0.0,0.0,4.0,Amesbury,"          $39,966,168.64","           1,789.1","              $22,338.70","          $45,461,590.81","           1,981.4","              $22,944.18",2023
Amesbury - Amesbury Innovation High School,00070515,      67,9.4,         58,48.3,51.7,1.7,37.9,72.4,00070000,0.0,0.0,10.3,77.6,0.0,0.0,12.1,Amesbury,"          $39,966,168.64","           1,789.1","              $22,338.70","          $45,461,590.81","           1,981.4","              $22,944.18",2023
Amesbury - Amesbury Middle,00070013,     308,14.9,        421,46.1,53.9,1.0,24.9,34.0,00070000,2.1,1.2,11.4,80.3,0.2,0.0,4.8,Amesbury,"          $39,966,168.64","           1,789.1","              $22,338.70","          $45,461,590.81","           1,981.4","              $22,944.18",2023
