School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,     713,18.9,"      1,425",54.4,45.6,13.6,13.0,48.6,04450000,54.3,3.4,19.7,16.8,0.6,0.1,5.1,Abby Kelley Foster Charter Public (District),"          $21,885,215.62","           1,421.4","              $15,396.51","          $21,885,215.62","           1,421.4","              $15,396.51",2020
Abington - Abington Early Education Program,00010001,      20,13.0,         65,41.5,58.5,4.6,60.0,29.2,00010000,9.2,4.6,9.2,76.9,0.0,0.0,0.0,Abington,"          $29,446,070.52","           2,146.0","              $13,721.37","          $34,045,424.41","           2,253.2","              $15,109.81",2020
Abington - Abington High,00010505,     266,17.1,        591,46.9,53.1,5.6,11.5,26.9,00010000,4.7,2.7,11.7,80.4,0.0,0.0,0.5,Abington,"          $29,446,070.52","           2,146.0","              $13,721.37","          $34,045,424.41","           2,253.2","              $15,109.81",2020
Abington - Abington Middle School,00010405,     328,22.7,        651,50.2,49.8,6.6,15.7,33.3,00010000,4.3,2.3,11.2,79.1,0.5,0.2,2.5,Abington,"          $29,446,070.52","           2,146.0","              $13,721.37","          $34,045,424.41","           2,253.2","              $15,109.81",2020
Abington - Beaver Brook Elementary,00010020,     241,20.1,        525,52.6,47.2,13.1,16.4,31.4,00010000,5.1,1.9,13.0,76.0,0.8,0.0,3.2,Abington,"          $29,446,070.52","           2,146.0","              $13,721.37","          $34,045,424.41","           2,253.2","              $15,109.81",2020
Abington - Woodsdale Elementary School,00010015,     134,21.6,        320,50.3,49.7,10.0,19.1,25.3,00010000,5.3,1.6,10.9,79.4,0.9,0.3,1.6,Abington,"          $29,446,070.52","           2,146.0","              $13,721.37","          $34,045,424.41","           2,253.2","              $15,109.81",2020
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     201,19.7,        538,48.5,51.5,8.2,26.0,48.7,04120000,62.6,0.7,28.4,6.7,0.0,0.2,1.3,Academy Of the Pacific Rim Charter Public (District),"          $11,037,174.88",             536.1,"              $20,587.90","          $11,037,174.88",             536.1,"              $20,587.90",2020
Acton-Boxborough - Acton-Boxborough Regional High,06000505,     782,15.8,"      1,755",47.0,52.8,1.1,9.9,7.9,06000000,2.9,34.9,5.2,52.7,0.1,0.0,4.3,Acton-Boxborough,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",2020
Acton-Boxborough - Blanchard Memorial School,06000005,     149,17.9,        376,47.9,52.1,9.8,17.8,6.9,06000000,3.5,20.7,8.2,62.5,0.0,0.0,5.1,Acton-Boxborough,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",2020
Acton-Boxborough - C.T. Douglas Elementary School,06000020,     135,16.7,        319,46.4,53.3,6.6,16.0,10.0,06000000,4.7,9.1,6.9,71.5,0.0,0.3,7.5,Acton-Boxborough,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",2020
