label,variable_id_2018
percent!!race!!total population!!one race!!asian!!vietnamese,DP05_0050PE
percent annotation of estimate!!sex and age!!total population!!18 years and over,DP05_0025PEA
annotation of estimate!!sex and age!!total population!!65 to 74 years,DP05_0015EA
percent annotation of estimate!!sex and age!!total population,DP05_0001PEA
percent margin of error!!race!!total population!!one race!!asian!!vietnamese,DP05_0050PM
percent annotation of estimate!!race!!total population!!one race!!white,DP05_0037PEA
annotation of margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!native hawaiian and other pacific islander alone,DP05_0081MA
annotation of estimate!!race!!total population!!two or more races!!white and black or african american,DP05_0059EA
percent annotation of estimate!!race!!total population!!one race!!asian!!korean,DP05_0049PEA
annotation of estimate!!sex and age!!total population!!male,DP05_0002EA
percent annotation of margin of error!!sex and age!!total population!!55 to 59 years,DP05_0013PMA
annotation of margin of error!!sex and age!!total population!!18 years and over!!sex ratio (males per 100 females),DP05_0028MA
percent annotation of estimate!!race!!total population!!one race!!asian!!vietnamese,DP05_0050PEA
margin of error!!sex and age!!total population!!18 years and over!!sex ratio (males per 100 females),DP05_0028M
percent annotation of margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!white alone,DP05_0077PMA
percent margin of error!!sex and age!!total population!!18 years and over!!sex ratio (males per 100 females),DP05_0028PM
estimate!!sex and age!!total population!!18 years and over!!sex ratio (males per 100 females),DP05_0028E
percent!!sex and age!!total population!!18 years and over!!sex ratio (males per 100 females),DP05_0028PE
percent margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!native hawaiian and other pacific islander alone,DP05_0081PM
annotation of margin of error!!sex and age!!total population!!65 to 74 years,DP05_0015MA
percent!!hispanic or latino and race!!total population!!not hispanic or latino!!native hawaiian and other pacific islander alone,DP05_0081PE
margin of error!!sex and age!!total population!!65 years and over,DP05_0029M
estimate!!sex and age!!total population!!65 years and over,DP05_0029E
annotation of estimate!!race!!total population!!one race!!asian!!chinese,DP05_0046EA
