School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,     711,19.0,"      1,424",54.0,46.0,42.7,11.5,12.4,04450000,52.6,3.4,20.7,19.4,0.4,0.1,3.4,Abby Kelley Foster Charter Public (District),"          $21,896,724.82","           1,425.4","              $15,361.60","          $21,896,724.82","           1,425.4","              $15,361.60",2019
Abington - Abington Early Education Program,00010001,      20,20.0,        100,49.0,51.0,37.0,5.0,49.0,00010000,9.0,3.0,9.0,77.0,0.0,0.0,2.0,Abington,"          $28,935,060.43","           2,064.7","              $14,014.17","          $32,687,048.06","           2,166.7","              $15,086.10",2019
Abington - Abington High,00010505,     267,18.2,        600,50.2,49.8,24.0,5.0,11.2,00010000,4.8,3.0,10.0,80.8,0.0,0.0,1.3,Abington,"          $28,935,060.43","           2,064.7","              $14,014.17","          $32,687,048.06","           2,166.7","              $15,086.10",2019
Abington - Abington Middle School,00010405,     359,24.1,        706,44.9,55.1,29.5,6.7,14.0,00010000,3.3,2.4,9.9,82.4,0.4,0.0,1.6,Abington,"          $28,935,060.43","           2,064.7","              $14,014.17","          $32,687,048.06","           2,166.7","              $15,086.10",2019
Abington - Beaver Brook Elementary,00010020,     245,24.0,        480,50.8,49.0,26.5,12.1,14.6,00010000,5.6,2.5,9.8,80.0,1.3,0.0,0.8,Abington,"          $28,935,060.43","           2,064.7","              $14,014.17","          $32,687,048.06","           2,166.7","              $15,086.10",2019
Abington - Woodsdale Elementary School,00010015,     143,23.7,        308,52.6,47.4,25.7,8.1,18.5,00010000,4.6,2.6,11.4,79.9,0.3,0.3,1.0,Abington,"          $28,935,060.43","           2,064.7","              $14,014.17","          $32,687,048.06","           2,166.7","              $15,086.10",2019
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     185,19.1,        539,49.5,50.5,44.9,10.4,26.2,04120000,60.1,1.1,28.9,8.4,0.0,0.0,1.5,Academy Of the Pacific Rim Charter Public (District),"          $10,728,860.94",             532.7,"              $20,141.29","          $10,728,860.94",             532.7,"              $20,141.29",2019
Acton-Boxborough - Acton-Boxborough Regional High,06000505,     735,18.1,"      1,820",48.5,51.5,6.6,1.0,10.7,06000000,2.8,33.2,4.5,54.8,0.2,0.0,4.6,Acton-Boxborough,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",2019
Acton-Boxborough - Blanchard Memorial School,06000005,     163,20.8,        479,49.5,50.5,5.6,6.9,15.9,06000000,2.3,31.1,5.6,57.0,0.0,0.0,4.0,Acton-Boxborough,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",2019
Acton-Boxborough - C.T. Douglas Elementary School,06000020,     128,21.9,        395,48.4,51.7,10.9,7.1,12.2,06000000,2.3,19.8,5.1,65.3,0.3,0.3,7.1,Acton-Boxborough,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",2019
Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,      14,9.4,        115,43.5,56.5,13.0,14.8,47.0,06000000,5.2,34.8,11.3,40.0,0.0,0.0,8.7,Acton-Boxborough,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",2019
Acton-Boxborough - Luther Conant School,06000030,     137,21.6,        415,47.0,53.0,7.2,9.9,19.3,06000000,3.6,59.8,7.7,25.5,0.0,0.0,3.4,Acton-Boxborough,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",2019
Acton-Boxborough - McCarthy-Towne School,06000015,     171,21.4,        513,49.1,50.9,11.3,5.3,16.2,06000000,3.5,14.4,9.2,65.5,0.4,0.0,7.0,Acton-Boxborough,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",2019
Acton-Boxborough - Merriam School,06000010,     156,21.6,        477,48.9,51.2,6.5,5.2,15.3,06000000,2.1,20.3,5.9,65.6,0.0,0.2,5.9,Acton-Boxborough,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",2019
Acton-Boxborough - Paul P Gates Elementary School,06000025,     123,22.1,        378,47.6,52.4,9.5,8.2,12.2,06000000,2.7,57.4,5.3,30.2,0.0,0.0,4.5,Acton-Boxborough,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",2019
Acton-Boxborough - Raymond J Grey Junior High,06000405,     563,21.1,        871,47.5,52.5,8.3,2.2,16.2,06000000,2.9,35.0,7.0,50.4,0.5,0.2,4.0,Acton-Boxborough,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",2019
Acushnet - Acushnet Elementary School,00030025,     277,20.5,        568,46.5,53.5,26.4,1.8,13.4,00030000,1.1,0.9,4.2,89.1,0.2,0.0,4.6,Acushnet,"          $12,904,090.49","           1,018.1","              $12,674.68","          $17,148,647.53","           1,336.5","              $12,831.01",2019
Acushnet - Albert F Ford Middle School,00030305,     269,19.8,        448,47.5,52.5,25.0,0.0,12.7,00030000,0.7,0.9,4.0,91.5,0.0,0.0,2.9,Acushnet,"          $12,904,090.49","           1,018.1","              $12,674.68","          $17,148,647.53","           1,336.5","              $12,831.01",2019
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     510,18.1,        964,47.6,52.4,9.0,3.2,6.9,04300000,2.3,17.3,6.5,67.1,0.1,0.0,6.6,Advanced Math and Science Academy Charter (District),"          $15,910,750.63",             972.7,"              $16,357.31","          $15,910,750.63",             972.7,"              $16,357.31",2019
Agawam - Agawam Early Childhood Center,00050003,      19,10.5,        181,42.5,57.5,37.0,5.5,47.5,00050000,3.3,9.4,11.1,72.4,0.0,0.0,3.9,Agawam,"          $63,234,829.14","           3,710.3","              $17,043.05","          $69,007,740.22","           3,868.8","              $17,836.99",2019
Agawam - Agawam High,00050505,     562,15.0,"      1,059",49.9,50.1,24.1,2.1,11.6,00050000,1.6,2.5,7.4,86.0,0.1,0.0,2.5,Agawam,"          $63,234,829.14","           3,710.3","              $17,043.05","          $69,007,740.22","           3,868.8","              $17,836.99",2019
Agawam - Agawam Junior High,00050405,     771,10.8,        555,47.9,52.1,35.7,3.1,14.1,00050000,3.6,2.9,7.4,83.2,0.0,0.0,2.9,Agawam,"          $63,234,829.14","           3,710.3","              $17,043.05","          $69,007,740.22","           3,868.8","              $17,836.99",2019
