School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,     735,19.0,"      1,418",53.6,46.4,18.8,12.1,57.0,04450000,56.0,2.9,21.4,14.1,0.4,0.1,5.1,Abby Kelley Foster Charter Public (District),"          $22,455,445.00","           1,423.0","              $15,780.91","          $22,455,445.00","           1,423.0","              $15,780.91",2022
Abington - Abington Early Education Program,00010001,      16,25.3,        101,36.6,63.4,13.9,40.6,36.6,00010000,8.9,5.0,6.9,75.3,1.0,0.0,3.0,Abington,"          $33,667,339.55","           2,151.3","              $15,649.77","          $38,794,704.12","           2,296.7","              $16,891.50",2022
Abington - Abington High,00010505,     278,15.6,        563,48.0,51.9,10.0,12.3,36.2,00010000,5.5,2.1,15.3,75.5,0.4,0.0,1.2,Abington,"          $33,667,339.55","           2,151.3","              $15,649.77","          $38,794,704.12","           2,296.7","              $16,891.50",2022
Abington - Abington Middle School,00010405,     379,21.4,        663,49.0,50.5,8.5,18.7,34.7,00010000,6.6,2.0,14.2,74.8,0.5,0.2,1.8,Abington,"          $33,667,339.55","           2,151.3","              $15,649.77","          $38,794,704.12","           2,296.7","              $16,891.50",2022
Abington - Beaver Brook Elementary,00010020,     234,20.4,        530,50.9,49.1,17.0,15.3,37.0,00010000,6.2,2.6,15.1,70.9,0.2,0.2,4.7,Abington,"          $33,667,339.55","           2,151.3","              $15,649.77","          $38,794,704.12","           2,296.7","              $16,891.50",2022
Abington - Woodsdale Elementary School,00010015,     126,24.6,        343,47.2,52.5,13.4,19.5,35.9,00010000,5.5,2.9,14.3,74.3,1.2,0.0,1.8,Abington,"          $33,667,339.55","           2,151.3","              $15,649.77","          $38,794,704.12","           2,296.7","              $16,891.50",2022
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     215,17.9,        468,49.2,50.9,9.6,24.4,58.8,04120000,64.5,0.0,26.9,4.9,0.0,0.0,3.6,Academy Of the Pacific Rim Charter Public (District),"          $11,731,129.95",             504.3,"              $23,264.05","          $11,731,129.95",             504.3,"              $23,264.05",2022
Acton-Boxborough - Acton-Boxborough Regional High,06000505,     695,18.1,"      1,691",47.5,51.9,1.2,12.3,10.1,06000000,3.2,37.0,6.8,49.6,0.2,0.2,3.0,Acton-Boxborough,"          $94,671,026.58","           5,242.6","              $18,058.03","         $103,747,255.10","           5,371.2","              $19,315.47",2022
Acton-Boxborough - Blanchard Memorial School,06000005,     172,20.9,        505,49.1,50.7,9.3,17.2,10.3,06000000,2.6,27.5,9.7,54.1,0.2,0.0,5.9,Acton-Boxborough,"          $94,671,026.58","           5,242.6","              $18,058.03","         $103,747,255.10","           5,371.2","              $19,315.47",2022
Acton-Boxborough - C.T. Douglas Elementary School,06000020,     130,21.0,        385,46.5,53.5,6.0,15.1,16.4,06000000,2.1,17.4,10.7,62.1,0.0,0.0,7.8,Acton-Boxborough,"          $94,671,026.58","           5,242.6","              $18,058.03","         $103,747,255.10","           5,371.2","              $19,315.47",2022
Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,      14,9.4,        119,37.8,62.2,28.6,48.7,21.9,06000000,6.7,37.0,7.6,41.2,0.0,0.0,7.6,Acton-Boxborough,"          $94,671,026.58","           5,242.6","              $18,058.03","         $103,747,255.10","           5,371.2","              $19,315.47",2022
Acton-Boxborough - Luther Conant School,06000030,     137,21.3,        408,48.5,51.5,12.0,16.9,10.1,06000000,2.9,57.6,7.6,26.7,0.0,0.0,5.2,Acton-Boxborough,"          $94,671,026.58","           5,242.6","              $18,058.03","         $103,747,255.10","           5,371.2","              $19,315.47",2022
Acton-Boxborough - McCarthy-Towne School,06000015,     150,21.3,        453,48.1,51.7,6.8,18.8,13.9,06000000,2.9,11.0,11.5,68.7,0.0,0.0,6.0,Acton-Boxborough,"          $94,671,026.58","           5,242.6","              $18,058.03","         $103,747,255.10","           5,371.2","              $19,315.47",2022
Acton-Boxborough - Merriam School,06000010,     144,22.0,        445,49.7,49.9,8.1,16.2,10.8,06000000,2.7,17.5,7.0,64.9,0.0,0.0,7.9,Acton-Boxborough,"          $94,671,026.58","           5,242.6","              $18,058.03","         $103,747,255.10","           5,371.2","              $19,315.47",2022
Acton-Boxborough - Paul P Gates Elementary School,06000025,     124,19.9,        346,50.0,50.0,9.0,11.9,12.4,06000000,1.2,55.2,7.5,28.3,0.0,0.0,7.8,Acton-Boxborough,"          $94,671,026.58","           5,242.6","              $18,058.03","         $103,747,255.10","           5,371.2","              $19,315.47",2022
Acton-Boxborough - Raymond J Grey Junior High,06000405,     560,20.2,        835,47.0,52.8,3.2,15.3,11.0,06000000,3.4,36.2,7.5,49.2,0.2,0.1,3.4,Acton-Boxborough,"          $94,671,026.58","           5,242.6","              $18,058.03","         $103,747,255.10","           5,371.2","              $19,315.47",2022
Acushnet - Acushnet Elementary School,00030025,     294,18.0,        552,44.9,55.1,0.2,18.1,35.7,00030000,1.5,0.9,6.2,87.7,0.7,0.0,3.1,Acushnet,"          $14,347,713.00",             942.8,"              $15,218.19","          $18,458,602.00","           1,235.8","              $14,936.56",2022
Acushnet - Albert F Ford Middle School,00030305,     220,16.7,        408,51.2,48.5,0.3,12.8,29.4,00030000,1.2,0.5,4.7,89.2,0.5,0.0,3.9,Acushnet,"          $14,347,713.00",             942.8,"              $15,218.19","          $18,458,602.00","           1,235.8","              $14,936.56",2022
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     504,18.2,        957,45.1,54.1,1.6,7.6,16.1,04300000,2.7,11.9,8.4,69.3,0.0,0.0,7.7,Advanced Math and Science Academy Charter (District),"          $14,353,114.97",             965.3,"              $14,869.53","          $14,353,114.97",             965.3,"              $14,869.53",2022
Agawam - Agawam Early Childhood Center,00050003,      16,10.0,        156,38.5,61.5,10.9,44.2,41.0,00050000,1.3,5.1,21.2,70.5,0.0,0.0,1.9,Agawam,"          $68,476,267.22","           3,494.9","              $19,593.20","          $75,381,227.28","           3,675.4","              $20,509.67",2022
Agawam - Agawam High,00050505,     550,14.6,"      1,052",47.6,51.3,3.2,16.6,35.6,00050000,2.7,4.0,9.2,81.4,0.0,0.0,2.8,Agawam,"          $68,476,267.22","           3,494.9","              $19,593.20","          $75,381,227.28","           3,675.4","              $20,509.67",2022
Agawam - Agawam Junior High,00050405,     545,11.2,        537,44.0,55.9,4.8,19.2,42.5,00050000,3.0,3.4,13.6,77.8,0.0,0.0,2.2,Agawam,"          $68,476,267.22","           3,494.9","              $19,593.20","          $75,381,227.28","           3,675.4","              $20,509.67",2022
Agawam - Benjamin J Phelps,00050020,     159,20.5,        311,47.0,53.1,8.0,17.4,46.3,00050000,2.3,3.2,9.0,82.3,0.3,0.0,2.9,Agawam,"          $68,476,267.22","           3,494.9","              $19,593.20","          $75,381,227.28","           3,675.4","              $20,509.67",2022
