School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,12,593,528,742,18.3,1421,53.6,46.4,16,12.6,70.1,4450000,54.5,3.2,20.6,15.9,0.4,0.1,5.4,Abby Kelley Foster Charter Public (District),"          $24,004,095.80",1424.3,"              $16,853.85","          $24,004,095.80",1424.3,"              $16,853.85",2021
Abington - Abington High,10505,64,565,534,274,16.7,587,47.7,52,6.8,11.4,35.3,10000,5.1,2.9,12.6,78.2,0.2,0,1,Abington,"          $31,632,120.91",2124.7,"              $14,887.81","          $36,223,802.52",2243.9,"              $16,143.23",2021
Acton-Boxborough - Acton-Boxborough Regional High,6000505,486,651,683,742,17,1713,47.9,51.6,1.5,10.6,8.8,6000000,3,36.5,6.2,50.4,0.1,0.1,3.6,Acton-Boxborough,"          $91,068,584.80",5218.9,"              $17,449.77","         $101,101,104.27",5344.9,"              $18,915.43",2021
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,164,629,657,495,18.5,965,45.9,53.6,2.6,6.8,14.3,4300000,2.2,14.7,7.7,68.9,0,0,6.5,Advanced Math and Science Academy Charter (District),"          $16,072,974.33",963.9,"              $16,675.46","          $16,072,974.33",963.9,"              $16,675.46",2021
Agawam - Agawam High,50505,64,578,564,578,14.2,1054,47.7,52.3,2.3,15.8,37.4,50000,2.8,3.7,8.9,81.5,0.1,0,3,Agawam,"          $65,524,542.84",3462.6,"              $18,923.51","          $71,447,853.84",3628.7,"              $19,689.66",2021
Amesbury - Amesbury High,70505,45,596,570,395,12.7,466,49.8,50.2,1.7,18,28.5,70000,1.5,1.5,7.3,85,0,0.2,4.5,Amesbury,"          $35,301,080.55",1861.9,"              $18,959.71","          $40,504,954.06",2037.1,"              $19,883.64",2021
Amherst-Pelham - Amherst Regional High,6050505,41,656,669,624,13.6,868,46.5,52.7,9,22.7,33.1,6050000,8.6,9,18.3,55.3,0,0,8.8,Amherst-Pelham,"          $30,919,410.00",1278,"              $24,193.59","          $35,197,652.00",1433.4,"              $24,555.36",2021
Andover - Andover High,90505,454,607,611,995,14.8,1677,50.5,49.1,0.5,16.1,13.3,90000,2.8,19.4,8.1,66.3,0.4,0.1,2.9,Andover,"         $111,233,153.00",5587.9,"              $19,906.07","         $119,204,481.00",5692.3,"              $20,941.36",2021
Arlington - Arlington High,100505,372,623,617,912,14.7,1504,51.8,46.9,1.5,11.4,12.1,100000,3.6,11,6.6,73.3,0,0.1,5.5,Arlington,"          $97,116,943.52",5739.9,"              $16,919.62","         $105,176,252.35",5864.7,"              $17,933.78",2021
Ashburnham-Westminster - Oakmont Regional High School,6100505,60,599,600,342,15.1,630,46,53,0.5,15.4,24.4,6100000,1,1.3,5.7,90.2,0.2,0,1.8,Ashburnham-Westminster,"          $32,368,891.92",2204.7,"              $14,681.77","          $34,367,218.10",2303.4,"              $14,920.21",2021
Ashland - Ashland High,140505,174,602,635,386,17.2,842,50.2,49.8,4,13.8,23.9,140000,2.4,13.7,17.1,64,0.5,0,2.4,Ashland,"          $41,552,192.62",2754.7,"              $15,084.11","          $45,375,546.89",2809.3,"              $16,151.91",2021
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,59,519,502,602,17.6,1121,42,56.9,5.2,26,42.8,8010000,1.9,0.5,23.4,72.1,0.1,0,2.1,Assabet Valley Regional Vocational Technical,"          $23,463,517.39",1145.5,"              $20,483.21","          $23,476,517.39",1145.5,"              $20,494.56",2021
